img,player,position,height,weight,college,draft_yr,pick,drafted_by,yrs,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/smithla01.jpg,Larry Smith,PF, 6-8,215lb,Alcorn State University,1980,24,GSW,13,0.531,0,0.531,25.9,6.7,9.2,1.1,2.9,5.4,0,0,0.531,1,1.8,3.9,5.3,0.8,0.5,1.4,3.4,0.096,0.6,15,1,80,215,4
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/rulanje01.jpg,Jeff Ruland,C, 6-10,240lb,Iona College,1980,25,GSW,8,0.564,0.158,0.718,33.4,17.4,10.2,3,6.3,11.2,0,0.1,0.564,4.7,6.5,3.3,6.9,0.8,0.8,3.7,3.7,0.149,3.5,15.4,1,82,240,5
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Sam Worthen,PG, 6-5,195lb,Marquette,1980,26,CHI,2,0.492,0,0.75,14,3.5,1.7,1.7,1.4,2.9,0,0.1,0.492,0.7,0.9,0.3,1.3,0.8,0.1,1.3,1.7,0.032,-2.3,-0.1,1,77,195,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,John Stroud,SF, 6-7,215lb,University of Mississippi,1980,27,HOU,1,0.324,0,0.75,9.8,2.8,1.4,1,1.2,3.8,0,0,0.324,0.3,0.4,0.8,0.7,0.1,0,0.4,0.8,-0.036,-6.5,-0.1,1,79,215,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Craig Shelton,SF, 6-7,210lb,Georgetown,1980,28,ATL,2,0.453,0,0.6,10.3,4.1,2.4,0.5,1.7,3.8,0,0,0.453,0.6,1,1,1.4,0.3,0.1,1,2.2,-0.001,-5.4,-0.5,1,79,210,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Louis Orr,SF, 6-8,175lb,Syracuse,1980,29,IND,8,0.468,0.083,0.787,23.5,9.7,3.7,1.5,3.7,8,0,0.1,0.468,2.3,2.9,1.6,2.1,0.8,0.3,1.4,2,0.093,-0.4,5.4,1,80,175,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Kenny Natt,SG, 6-3,185lb,University of Louisiana at Monroe,1980,30,IND,3,0.417,0.2,0.621,7.9,3.1,0.8,0.8,1.3,3.2,0,0.2,0.423,0.4,0.6,0.3,0.5,0.2,0,0.7,1.2,-0.026,-7.4,-0.5,1,75,185,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Wayne Robinson,PF, 6-8,217lb,Virginia Tech,1980,31,LAL,1,0.46,0,0.729,19.7,7.9,3.6,1.4,2.9,6.3,0,0.1,0.46,2.2,3,1.4,2.2,0.6,0.3,1.8,2.3,0.052,-2.8,-0.3,1,80,217,4
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/mahorri01.jpg,Rick Mahorn,PF, 6-10,240lb,Hampton University,1980,35,WSB,18,0.493,0.132,0.704,23.1,6.9,6.2,1,2.8,5.6,0,0,0.493,1.4,2,1.6,4.6,0.6,0.9,1.3,3.1,0.096,-0.3,10.7,1,82,240,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,DeWayne Scales,PF, 6-8,208lb,LSU,1980,36,NYK,3,0.417,0.167,0.628,10.6,4.6,2.9,0.2,2,4.8,0,0.1,0.419,0.6,0.9,1,1.9,0.3,0.1,0.7,1.2,0.017,-8.5,-0.9,1,80,208,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Butch Carter,SF, 6-5,180lb,Indiana,1980,37,LAL,6,0.475,0.307,0.788,18.9,8.7,1.5,1.9,3.6,7.5,0.1,0.5,0.485,1.4,1.8,0.6,0.9,0.9,0.1,1.3,2.2,0.06,-2.5,-0.8,1,77,180,3
