,draft_yr,pick,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
65,2017,16,0.333,0,0.5,6.3,1.8,1.5,0.8,0.8,2.3,0,0.5,0.333,0.3,0.5,0.5,1,0.8,0,0,1.5,0.09,0.4,0,1,84,241,5,Brice Johnson
66,2017,17,0.423,0.364,0.551,13.6,4.3,3.3,0.8,1.6,3.8,0.7,1.9,0.513,0.4,0.7,0.7,2.6,0.3,0.3,0.5,1.3,0.09,-1.7,0.1,1,82,231,4,Sam Dekker
67,2017,18,0.511,0.356,0.617,8.8,3.4,1.9,0.3,1.5,2.9,0.2,0.7,0.552,0.3,0.4,0.6,1.2,0.1,0.2,0.2,0.7,0.117,-2.8,-0.2,1,82,225,4,Perry Jones
68,2017,19,0.566,0.346,0.743,26.8,14.6,8.4,1.6,5.8,10.2,0.5,1.5,0.592,2.5,3.3,2.9,5.5,0.5,0.9,1.7,3.1,0.152,1.5,3.2,1,82,235,4,Marvin Bagley
69,2017,20,0.503,0,0.637,14.1,7,3.8,1.5,3,6,0,0.1,0.503,1,1.6,1.1,2.7,0.5,0.4,1.3,2.6,0.056,-2.1,0,1,82,240,4,Craig Smith
70,2017,21,0.425,0.356,0.754,20,5.2,1.4,0.7,1.9,4.4,1.1,3,0.547,0.3,0.5,0.4,1,0.5,0.2,0.4,2.3,0.072,-2.1,-0.1,0,79,190,2,Furkan Korkmaz
71,2017,22,0.59,0.183,0.732,23.3,9.6,7,1,3.7,6.3,0.1,0.4,0.595,2,2.8,2.2,4.8,0.5,1.4,1.2,2.2,0.161,1.6,3.2,1,83,237,5,Taj Gibson
72,2017,23,0.461,0.351,0.605,20.1,6.4,2.7,0.7,2.5,5.3,1,2.8,0.555,0.5,0.9,0.7,2,0.7,0.3,0.7,1.9,0.085,-0.3,1.2,1,80,232,3,Kyle Singler
73,2017,24,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.3,0.7,0.2,0.4,0.611,0,0.1,0.3,0.4,0.1,0,0.2,0.4,0.084,-2.6,0,1,82,225,4,Joel Bolomboy
74,2017,26,0.372,0.133,0.667,7.6,2.2,2.5,0.5,0.9,2.4,0,0.3,0.381,0.4,0.6,0.7,1.8,0.2,0.1,0.8,1.4,-0.031,-6.6,-0.4,1,81,250,4,Adreian Payne
75,2017,27,0.453,0.335,0.731,32.1,17.3,5.9,2.2,6.6,14.5,2,5.8,0.521,2.3,3.1,1,4.9,0.6,0.4,1.9,2.2,0.071,-1.5,0.6,1,81,220,4,Lauri Markkanen
76,2017,28,0.407,0,0.75,5.4,2.1,2.2,0.2,0.9,2.3,0,0.1,0.407,0.3,0.3,1.1,1.1,0.2,0.2,0.3,0.6,0.087,-4.7,0,1,82,248,5,Rakeem Christmas
77,2017,29,0.479,0.361,0.762,22.2,8.5,3.3,3.2,3.3,6.9,0.7,1.8,0.528,1.3,1.7,0.5,2.8,0.8,0.6,1.2,1.8,0.106,0.9,1.4,1,76,190,1,Delon Wright
78,2017,30,0.435,0.361,0.695,24.4,7.9,3.9,1.3,2.8,6.5,1.3,3.6,0.536,0.9,1.3,0.6,3.3,0.9,0.4,0.8,2,0.083,-0.4,1.3,1,77,215,2,Jae Crowder
79,2017,31,0.434,0.314,0.74,19.2,8.1,2.2,1.1,3.2,7.3,0.9,2.8,0.493,0.9,1.2,0.4,1.8,0.4,0,0.8,1.5,0.018,-5,-0.9,1,75,205,1,Zhaire Smith
80,2017,32,0.307,0.31,0.667,9.3,2.4,1.5,0.5,0.9,2.8,0.4,1.4,0.381,0.3,0.4,0.1,1.3,0.4,0.1,0.4,0.6,-0.039,-6.3,-0.3,1,77,208,2,Khyri Thomas
81,2017,33,0.419,0.304,0.787,17.3,4.4,2.5,1,1.6,3.8,0.3,1,0.457,0.9,1.2,0.6,1.9,0.5,0.3,0.6,1.6,0.054,-3,-0.6,1,79,195,3,Sam Young
82,2017,34,0.392,0.3,0.773,15.8,6.8,1.9,2.6,2.4,6.1,0.5,1.7,0.433,1.5,1.9,0.4,1.5,0.6,0.2,1.1,1.2,0.029,-3.7,-0.6,1,71,190,1,Ray McCallum
83,2017,35,0.555,0.2,0.743,14.6,5.7,4.3,1,2.4,4.3,0,0.2,0.559,0.9,1.2,1.4,2.8,0.3,0.3,0.8,1.7,0.125,-1,0.3,1,82,220,4,Cheick Diallo
84,2017,36,0.494,0.354,0.481,14.5,4.7,3.8,0.9,1.8,3.7,0.8,2.2,0.599,0.3,0.6,1.1,2.7,0.4,0.9,0.8,2.3,0.106,1.2,0.5,0,82,220,4,Thon Maker
85,2017,37,0.382,0.318,0.613,13.5,3,1.9,0.3,1,2.7,0.5,1.7,0.48,0.4,0.6,0.5,1.4,0.2,0.1,0.3,1,0.051,-3.7,-0.8,1,79,241,4,Abdel Nader
86,2017,38,0.57,0,0.647,12.8,3.9,3.1,1.4,1.7,3,0,0,0.57,0.4,0.7,0.9,2.2,0.4,0.9,0.7,1.4,0.136,1.7,1.5,1,81,224,5,Deyonta Davis
87,2017,39,0.345,0.263,0.776,15.1,4.2,1.7,2,1.6,4.8,0.3,1,0.373,0.7,0.9,0.2,1.5,0.7,0.1,0.9,1.9,-0.022,-5.2,-0.7,1,72,185,1,Markel Brown
88,2017,40,0.432,0.377,0.761,15.3,5.1,2.2,0.9,2,4.7,0.5,1.4,0.487,0.6,0.7,0.1,2.1,0.3,0.1,0.4,1.2,0.034,-4.6,-1,1,79,221,2,Glenn Robinson III
